cohort,seed,passed,violations,actions,retries,prevented,planningMs,elapsedMs
after_learning,14,true,0,6,0,2,0.7849999999997408,1.9716999999999416
after_learning,15,true,0,6,0,2,0.8924999999999272,1.9232999999999265
after_learning,16,true,0,6,0,2,0.6798999999998614,1.5305000000000746
after_learning,17,true,0,6,0,2,0.7401999999998452,2.3243999999999687
after_learning,18,true,0,6,0,2,2.0113000000000056,4.221100000000092
after_learning,19,true,0,6,0,2,0.8603999999999132,2.511199999999917
after_learning,20,true,0,6,0,2,1.5986000000001468,3.6499000000000024
after_learning,21,true,0,6,0,2,1.2231999999999061,2.794999999999959
after_learning,22,true,0,6,0,2,1.2883000000000493,2.9239000000000033
after_learning,23,true,0,6,0,2,1.3035999999998467,4.084799999999973
after_learning,24,true,0,6,0,2,1.8361999999999625,3.4320000000000164
after_learning,25,true,0,6,0,2,1.587799999999902,3.5816999999999553
after_learning,26,true,0,6,0,2,1.2581000000001268,2.8220000000000027
after_learning,27,true,0,6,0,2,1.2840999999999667,2.993600000000015
after_learning,28,true,0,6,0,2,1.7520000000000664,3.5698999999999614
after_learning,29,true,0,6,0,2,1.2258999999999105,3.012299999999982
after_learning,30,true,0,6,0,2,1.4959999999998672,3.2370999999999412
after_learning,31,true,0,6,0,2,1.3096999999997934,2.382099999999923
after_learning,32,true,0,6,0,2,1.0640000000000782,2.1187999999999647
after_learning,33,true,0,6,0,2,1.3068000000001803,3.115299999999934
after_learning,34,true,0,6,0,2,1.6575000000000273,3.8301999999999907
after_learning,35,true,0,6,0,2,1.6206000000000813,3.6687999999999192
after_learning,36,true,0,6,0,2,1.3093999999998687,2.9483999999999924
after_learning,37,true,0,6,0,2,1.0247000000001663,3.013500000000022
after_learning,38,true,0,6,0,2,0.8258999999999332,1.901200000000017
after_learning,39,true,0,6,0,2,1.5158999999999878,3.6217000000000326
after_learning,40,true,0,6,0,2,1.7035000000000764,4.2970000000000255
after_learning,41,true,0,6,0,2,1.3310999999994237,3.06880000000001
after_learning,42,true,0,6,0,2,0.8311000000005606,1.899499999999989
after_learning,43,true,0,6,0,2,0.7481000000002496,1.6935000000000855
after_learning,44,true,0,6,0,2,1.1024999999999636,2.1220999999998185
after_learning,45,true,0,6,0,2,1.5417999999999665,3.520999999999958
after_learning,46,true,0,6,0,2,0.7242000000003372,1.7029999999999745
after_learning,47,true,0,6,0,2,1.4691000000000258,3.1963000000000648
after_learning,48,true,0,6,0,2,1.2777000000003227,2.892799999999852
after_learning,49,true,0,6,0,2,1.2096999999998843,2.7200000000000273
after_learning,50,true,0,6,0,2,1.1054999999998927,3.1024999999999636
after_learning,51,true,0,6,0,2,1.9365000000000236,4.6647999999997865
after_learning,52,true,0,6,0,2,1.6169999999999618,3.697099999999864
after_learning,53,true,0,6,0,2,1.2486999999996442,2.848199999999906
after_learning,54,true,0,6,0,2,1.1618000000000848,2.7078999999998814
after_learning,55,true,0,6,0,2,2.238399999999956,5.731800000000021
after_learning,56,true,0,6,0,2,1.5297999999997955,3.807299999999941
after_learning,57,true,0,6,0,2,0.9674000000002252,3.0634999999999764
after_learning,58,true,0,6,0,2,0.985599999999522,2.168899999999894
after_learning,59,true,0,6,0,2,1.0260000000000673,2.5369000000000597
after_learning,60,true,0,6,0,2,2.9342999999998938,5.075900000000047
after_learning,61,true,0,6,0,2,1.58429999999953,3.6041999999999916
after_learning,62,true,0,6,0,2,1.095600000000104,2.620800000000145
after_learning,63,true,0,6,0,2,1.4384999999990669,3.3126000000002023
after_learning,64,true,0,6,0,2,2.2598999999997886,4.828399999999874
after_learning,65,true,0,6,0,2,1.3221000000003187,3.2612000000001444
after_learning,66,true,0,6,0,2,1.4163999999998396,2.930900000000065
after_learning,67,true,0,6,0,2,0.7057000000002063,1.6549999999999727
after_learning,68,true,0,6,0,2,0.645799999999781,1.4890000000000327
after_learning,69,true,0,6,0,2,0.6375000000000455,1.512899999999945
after_learning,70,true,0,6,0,2,0.7599999999997635,1.6902999999999793
after_learning,71,true,0,6,0,2,0.836500000000342,3.3005000000000564
after_learning,72,true,0,6,0,2,1.3184999999998581,3.103700000000117
after_learning,73,true,0,6,0,2,1.4497000000003482,3.223799999999983
after_learning,74,true,0,6,0,2,1.2015000000001237,2.83829999999989
after_learning,75,true,0,6,0,2,1.1621999999995296,2.6254999999998745
after_learning,76,true,0,6,0,2,0.8997999999996864,2.101399999999785
after_learning,77,true,0,6,0,2,2.083500000000413,4.50830000000019
after_learning,78,true,0,6,0,2,2.0512999999998556,3.912700000000086
after_learning,79,true,0,6,0,2,1.231899999999996,2.823599999999942
after_learning,80,true,0,6,0,2,1.1842999999996664,2.7241999999998825
after_learning,81,true,0,6,0,2,1.219000000000051,2.8349000000000615
after_learning,82,true,0,6,0,2,1.9178999999999178,4.3236000000001695
after_learning,83,true,0,6,0,2,1.3274000000003525,2.947300000000041
after_learning,84,true,0,6,0,2,0.8255000000001473,2.085199999999986
after_learning,85,true,0,6,0,2,0.8179999999999836,1.8721000000000458
after_learning,86,true,0,6,0,2,0.729200000000219,2.1851999999998952
after_learning,87,true,0,6,0,2,0.6521000000000186,1.4747999999999593
after_learning,88,true,0,6,0,2,0.635300000000143,1.448799999999892
after_learning,89,true,0,6,0,2,1.749699999999848,4.051500000000033
after_learning,90,true,0,6,0,2,1.574400000000196,3.173599999999851
after_learning,91,true,0,6,0,2,1.218499999999949,2.779600000000073
after_learning,92,true,0,6,0,2,1.3223999999995613,2.9582000000000335
after_learning,93,true,0,6,0,2,1.213700000000017,3.445600000000013
after_learning,94,true,0,6,0,2,1.267099999999573,3.6321000000000367
after_learning,95,true,0,6,0,2,1.2721000000001368,3.669399999999996
after_learning,96,true,0,6,0,2,0.9729000000002088,3.3069000000000415
after_learning,97,true,0,6,0,2,1.290599999999813,2.937400000000025
after_learning,98,true,0,6,0,2,1.2758000000001175,3.0354999999999563
after_learning,99,true,0,6,0,2,1.6040000000000418,3.894999999999982
after_learning,100,true,0,6,0,2,1.2089000000000851,3.5417999999999665
retention_reload,1,true,0,6,0,2,0.6724000000001524,1.6363000000001193
retention_reload,2,true,0,6,0,2,0.7022999999999229,1.8503000000000611
retention_reload,3,true,0,6,0,2,0.8838000000000648,2.05619999999999
retention_reload,4,true,0,6,0,2,0.64420000000041,1.5333000000000538
retention_reload,5,true,0,6,0,2,0.7088000000003376,1.5229999999999109
retention_reload,6,true,0,6,0,2,1.2372000000000298,3.4170999999998912
retention_reload,7,true,0,6,0,2,0.8693000000000666,3.008100000000013
retention_reload,8,true,0,6,0,2,0.7986999999998261,1.8065999999998894
retention_reload,9,true,0,6,0,2,0.76949999999988,1.762599999999793
retention_reload,10,true,0,6,0,2,0.6808000000000902,1.5453000000002248
retention_reload,11,true,0,6,0,2,0.7550999999996293,1.9063000000001011
retention_reload,12,true,0,6,0,2,0.9078000000001794,2.0437999999999192
retention_reload,13,true,0,6,0,2,0.7117000000000644,1.6336999999998625
retention_reload,14,true,0,6,0,2,1.981999999999971,4.201199999999972
retention_reload,15,true,0,6,0,2,1.4886999999996533,3.898800000000165
retention_reload,16,true,0,6,0,2,0.9257000000002336,2.1194000000000415
retention_reload,17,true,0,6,0,2,1.159599999999955,2.616700000000037
retention_reload,18,true,0,6,0,2,1.0200999999997293,2.5754000000001724
retention_reload,19,true,0,6,0,2,1.6690000000000964,3.848700000000008
retention_reload,20,true,0,6,0,2,0.8845999999998639,2.111599999999953
retention_reload,21,true,0,6,0,2,1.4060000000001764,3.1484999999997854
retention_reload,22,true,0,6,0,2,1.2523000000001048,3.3530000000000655
